,Unnamed: 0,dR/dT,models,experiment,var
344,4,-0.0059689356530193,gfdl,fast,Omega
345,5,-0.0085351518104718,hg2,fast,Omega
346,6,-0.002258742163659,hg3,fast,Omega
347,7,0.0018719467056054,ipsl,fast,Omega
348,8,-0.0073370112476174,mies2l,fast,Omega
349,9,-0.0105344062491458,miesm,fast,Omega
350,10,-0.0104656266150007,mi5,fast,Omega
351,11,-0.0128516057146047,mi6,fast,Omega
352,12,-0.0058503080843937,mpi,fast,Omega
353,13,-0.0109682961556409,mrcgcm,fast,Omega
354,14,-0.0094208350302862,mresm,fast,Omega
355,15,-0.0018992295695759,ukesm,fast,Omega
357,0,-0.0055554148709264,ccsm4,fast,WS
358,1,-0.00612273705044,canam4,fast,WS
359,2,-0.0145837868123323,canesm5,fast,WS
360,3,0.0447595981060308,e3sm,fast,WS
361,4,0.0016100707506882,gfdl,fast,WS
362,5,0.0016463588523501,hg2,fast,WS
363,6,0.0044381763634809,hg3,fast,WS
364,7,-0.0050902084928713,ipsl,fast,WS
365,8,0.0274035408155339,mies2l,fast,WS
366,9,0.0229982352704591,miesm,fast,WS
367,10,0.0379205914925235,mi5,fast,WS
368,11,0.0292337546084807,mi6,fast,WS
369,12,-0.0173077873831131,mpi,fast,WS
370,13,-0.0035965951735732,mrcgcm,fast,WS
371,14,0.0154554124190216,mresm,fast,WS
372,15,0.0057685637664921,ukesm,fast,WS
374,0,0.2987205750279938,ccsm4,slow,SST
375,1,0.3863107205600059,canam4,slow,SST
376,2,0.8026068521355543,canesm5,slow,SST
377,3,0.1811230811322474,e3sm,slow,SST
378,4,0.2954547764474811,gfdl,slow,SST
379,5,0.0902536359754903,hg2,slow,SST
380,6,0.1586187040980887,hg3,slow,SST
381,7,0.2471466657501073,ipsl,slow,SST
382,8,0.018374886693964,mies2l,slow,SST
383,9,0.7903919151831204,miesm,slow,SST
384,10,-0.0990208965946247,mi5,slow,SST
385,11,0.3267021268554674,mi6,slow,SST
386,12,-0.2500309372030049,mpi,slow,SST
387,13,0.0713523640939969,mrcgcm,slow,SST
388,14,0.1220419627174357,mresm,slow,SST
389,15,0.1223030304695732,ukesm,slow,SST
391,0,0.0816396013178439,ccsm4,slow,EIS
392,1,0.0054006010944312,canam4,slow,EIS
393,2,0.0061064935084812,canesm5,slow,EIS
394,3,0.043566234577224,e3sm,slow,EIS
395,4,0.0412918732649096,gfdl,slow,EIS
396,5,0.061942121849922,hg2,slow,EIS
397,6,0.0077511261032469,hg3,slow,EIS
398,7,-0.1550428511190419,ipsl,slow,EIS
399,8,0.0242964441574724,mies2l,slow,EIS
400,9,0.0477689121466231,miesm,slow,EIS
401,10,0.0333167792095721,mi5,slow,EIS
402,11,0.0324737274798245,mi6,slow,EIS
403,12,0.0784010317162101,mpi,slow,EIS
404,13,0.0980116660046001,mrcgcm,slow,EIS
405,14,-0.0352123168201549,mresm,slow,EIS
406,15,0.0168282277181199,ukesm,slow,EIS
408,0,0.0046622947587122,ccsm4,slow,Tadv
409,1,0.0048689331301767,canam4,slow,Tadv
410,2,-0.0016827825625048,canesm5,slow,Tadv
411,3,0.0006954187818766,e3sm,slow,Tadv
412,4,0.0053658285757502,gfdl,slow,Tadv
413,5,0.0075911944230064,hg2,slow,Tadv
414,6,0.0063770117058697,hg3,slow,Tadv
415,7,0.0027417466497953,ipsl,slow,Tadv
416,8,0.0044652123734339,mies2l,slow,Tadv
417,9,-0.012027487285665,miesm,slow,Tadv
418,10,-0.0008062711936904,mi5,slow,Tadv
419,11,0.0032587438083071,mi6,slow,Tadv
420,12,0.0013691189079388,mpi,slow,Tadv
421,13,-0.0058092514609405,mrcgcm,slow,Tadv
422,14,0.0017329802115526,mresm,slow,Tadv
423,15,0.0099930604306827,ukesm,slow,Tadv
425,0,0.0358401011857686,ccsm4,slow,RH
426,1,0.0039996250079745,canam4,slow,RH
427,2,-0.0123062896712694,canesm5,slow,RH
428,3,0.0148293451748171,e3sm,slow,RH
429,4,0.0251061081921625,gfdl,slow,RH
430,5,-0.0052448053643964,hg2,slow,RH
431,6,-0.0285282636456481,hg3,slow,RH
432,7,-0.0112912135562909,ipsl,slow,RH
433,8,0.0196820089302621,mies2l,slow,RH
434,9,-0.021528079377993,miesm,slow,RH
435,10,0.0035546842449441,mi5,slow,RH
436,11,0.0256403959348557,mi6,slow,RH
437,12,-0.0036362847923796,mpi,slow,RH
438,13,0.0143081610946261,mrcgcm,slow,RH
439,14,-0.0280135337474493,mresm,slow,RH
440,15,-0.0299616057094556,ukesm,slow,RH
442,0,-0.0061703025891824,ccsm4,slow,Omega
443,1,-0.0026891828942671,canam4,slow,Omega
444,2,-0.0030102987228658,canesm5,slow,Omega
445,3,-0.0059784350512795,e3sm,slow,Omega
446,4,-0.0069973847389937,gfdl,slow,Omega
447,5,-0.0103040273562466,hg2,slow,Omega
448,6,-0.0009712524016535,hg3,slow,Omega
449,7,0.001926751081797,ipsl,slow,Omega
