,Unnamed: 0,dR/dT,models,experiment,var
209,5,0.0059680063262537,hg2,hist,Tadv
210,6,-0.0271645405357678,hg3,hist,Tadv
211,7,-0.0425552570968061,ipsl,hist,Tadv
212,8,-0.0145776321430198,mies2l,hist,Tadv
213,9,0.0046058021804221,miesm,hist,Tadv
214,10,-0.0068825281400825,mi5,hist,Tadv
215,11,-0.0451196540602184,mi6,hist,Tadv
216,12,0.0206611143326087,mpi,hist,Tadv
217,13,0.0136747612937659,mrcgcm,hist,Tadv
218,14,0.0061512002715638,mresm,hist,Tadv
219,15,0.0172648397724761,ukesm,hist,Tadv
221,0,0.1752464473890393,ccsm4,hist,RH
222,1,0.0185725948526547,canam4,hist,RH
223,2,0.0409239135063561,canesm5,hist,RH
224,3,0.1141046257908219,e3sm,hist,RH
225,4,0.1283805118551197,gfdl,hist,RH
226,5,0.1375213026046591,hg2,hist,RH
227,6,0.0893118033824746,hg3,hist,RH
228,7,0.1706508922807181,ipsl,hist,RH
229,8,0.3388833625241951,mies2l,hist,RH
230,9,0.1591294259118209,miesm,hist,RH
231,10,0.1596975516014014,mi5,hist,RH
232,11,0.1977186221538504,mi6,hist,RH
233,12,0.3686981156125541,mpi,hist,RH
234,13,0.1493231404904469,mrcgcm,hist,RH
235,14,-0.0292988399528561,mresm,hist,RH
236,15,0.1378083490234302,ukesm,hist,RH
238,0,0.0048698863280425,ccsm4,hist,Omega
239,1,0.0086051031902638,canam4,hist,Omega
240,2,0.0092761582552867,canesm5,hist,Omega
241,3,-0.0030570795551036,e3sm,hist,Omega
242,4,-0.006730592546824,gfdl,hist,Omega
243,5,0.0164745734618806,hg2,hist,Omega
244,6,-0.0094018205196431,hg3,hist,Omega
245,7,-0.0177397563441562,ipsl,hist,Omega
246,8,-0.0335542934554059,mies2l,hist,Omega
247,9,0.0353266401278284,miesm,hist,Omega
248,10,-0.017030549961766,mi5,hist,Omega
249,11,-0.0333658421550867,mi6,hist,Omega
250,12,0.0104391212484172,mpi,hist,Omega
251,13,-0.0175874367256058,mrcgcm,hist,Omega
252,14,-0.0003773533258814,mresm,hist,Omega
