,Unnamed: 0,dR/dT,models,experiment,var
319,13,0.0081016291028862,mrcgcm,fast,Tadv
320,14,-0.0242220178254005,mresm,fast,Tadv
321,15,0.0008948485569161,ukesm,fast,Tadv
323,0,-0.0104437047969087,ccsm4,fast,RH
324,1,0.004350590414214,canam4,fast,RH
325,2,-0.0326897185425949,canesm5,fast,RH
326,3,0.0308384990158901,e3sm,fast,RH
327,4,-0.0012761868474499,gfdl,fast,RH
328,5,0.0009366515349225,hg2,fast,RH
329,6,0.0312766747657533,hg3,fast,RH
330,7,-0.0061855160125491,ipsl,fast,RH
331,8,0.0389436133714434,mies2l,fast,RH
332,9,0.0231225377282793,miesm,fast,RH
333,10,0.039109469042849,mi5,fast,RH
334,11,-0.0107092402525921,mi6,fast,RH
335,12,0.0022520251517137,mpi,fast,RH
336,13,0.0088989440852774,mrcgcm,fast,RH
337,14,0.0140982018188878,mresm,fast,RH
338,15,0.045833664745872,ukesm,fast,RH
340,0,-0.000825806429557,ccsm4,fast,Omega
341,1,-0.0075666871032729,canam4,fast,Omega
342,2,-0.0053756475642096,canesm5,fast,Omega
343,3,-0.0145871568422405,e3sm,fast,Omega
344,4,-0.0052563098029113,gfdl,fast,Omega
345,5,-0.0040720238221815,hg2,fast,Omega
346,6,-0.0069250599501703,hg3,fast,Omega
347,7,-0.003235514891831,ipsl,fast,Omega
348,8,-0.0066362197887648,mies2l,fast,Omega
349,9,-0.0042494354782912,miesm,fast,Omega
350,10,-0.0034529323667982,mi5,fast,Omega
351,11,-0.003912649339952,mi6,fast,Omega
352,12,-0.0046886276206896,mpi,fast,Omega
353,13,-0.0047300371651361,mrcgcm,fast,Omega
354,14,-0.0003976464830703,mresm,fast,Omega
355,15,-0.0037689500268196,ukesm,fast,Omega
357,0,0.0177239159506276,ccsm4,fast,WS
358,1,0.0166821618136785,canam4,fast,WS
359,2,0.0052395939958421,canesm5,fast,WS
360,3,0.0281288039929877,e3sm,fast,WS
361,4,0.0084161619424146,gfdl,fast,WS
362,5,0.0163776354598545,hg2,fast,WS
363,6,0.0196474349063783,hg3,fast,WS
364,7,0.0194557805801553,ipsl,fast,WS
365,8,0.0130606051646297,mies2l,fast,WS
366,9,0.0126973290449269,miesm,fast,WS
367,10,0.0160419139806373,mi5,fast,WS
368,11,0.0175465862461149,mi6,fast,WS
369,12,0.0022324740692392,mpi,fast,WS
370,13,0.0059546848418485,mrcgcm,fast,WS
371,14,0.0092770796484795,mresm,fast,WS
372,15,0.0124393478097542,ukesm,fast,WS
374,0,0.4442604965578959,ccsm4,slow,SST
375,1,0.2479142638393586,canam4,slow,SST
376,2,0.2568819854452743,canesm5,slow,SST
377,3,0.5178753774430367,e3sm,slow,SST
378,4,0.3434698822825673,gfdl,slow,SST
379,5,0.274882348549576,hg2,slow,SST
380,6,0.4780103718523889,hg3,slow,SST
381,7,0.3080120312838004,ipsl,slow,SST
382,8,0.1445369739600852,mies2l,slow,SST
383,9,0.1314998794085164,miesm,slow,SST
384,10,0.0980965411371971,mi5,slow,SST
385,11,0.2870365913650277,mi6,slow,SST
386,12,0.2398425205290507,mpi,slow,SST
387,13,0.1841539930629382,mrcgcm,slow,SST
388,14,0.2738350790849522,mresm,slow,SST
389,15,0.4465806340417968,ukesm,slow,SST
391,0,0.0078807715321404,ccsm4,slow,EIS
392,1,0.2238384265805663,canam4,slow,EIS
393,2,0.0761454911226037,canesm5,slow,EIS
394,3,0.1009387569851294,e3sm,slow,EIS
395,4,0.1905473212636935,gfdl,slow,EIS
396,5,-0.0030256219832925,hg2,slow,EIS
397,6,0.1403535023763639,hg3,slow,EIS
