,dR/dT,models,experiment,var
0,0.01414109617170577,ccsm4,fast,WS
1,0.010616000433355526,canam4,fast,WS
2,0.0035611284552164064,canesm5,fast,WS
3,0.017133806440064153,e3sm,fast,WS
4,0.003381391655583437,gfdl,fast,WS
5,0.010443422139653642,hg2,fast,WS
6,0.01018621744865132,hg3,fast,WS
7,0.015562737955872688,ipsl,fast,WS
8,0.007217793426260489,mies2l,fast,WS
9,0.007518074657319046,miesm,fast,WS
10,0.014366144457995488,mi5,fast,WS
11,0.00701125171687326,mi6,fast,WS
12,-0.002315995429536966,mpi,fast,WS
13,0.002679147541415379,mrcgcm,fast,WS
14,0.011536926425417175,mresm,fast,WS
15,0.008187203637231938,ukesm,fast,WS
0,0.008826646695817422,mean,fast,WS
0,0.3498690497203067,ccsm4,slow,SST
1,0.17575661587692032,canam4,slow,SST
2,0.21514565012291367,canesm5,slow,SST
3,0.41449420747238475,e3sm,slow,SST
4,0.23628970401197147,gfdl,slow,SST
5,0.2331557158305385,hg2,slow,SST
6,0.36449295020282513,hg3,slow,SST
7,0.21819744901840052,ipsl,slow,SST
8,0.09759545337100298,mies2l,slow,SST
9,0.09078895407221868,miesm,slow,SST
10,0.08446742597104265,mi5,slow,SST
11,0.22621053945128436,mi6,slow,SST
12,0.21701653699589166,mpi,slow,SST
13,0.10491476823881993,mrcgcm,slow,SST
14,0.19976213818395644,mresm,slow,SST
15,0.34502982547917516,ukesm,slow,SST
0,0.22332418650122826,mean,slow,SST
0,-0.04299711813012158,ccsm4,slow,EIS
1,0.16377122285200602,canam4,slow,EIS
2,0.03814532430775822,canesm5,slow,EIS
3,0.026095808706495093,e3sm,slow,EIS
4,0.13626681129695742,gfdl,slow,EIS
5,-0.03134610173946895,hg2,slow,EIS
6,0.0204528011355301,hg3,slow,EIS
7,0.03295994103643483,ipsl,slow,EIS
8,0.012333970238184321,mies2l,slow,EIS
9,0.0014961984390044526,miesm,slow,EIS
10,0.007425583945088926,mi5,slow,EIS
11,-0.11052727648430698,mi6,slow,EIS
12,-0.06698001094538651,mpi,slow,EIS
13,0.06148015833662631,mrcgcm,slow,EIS
14,0.09162601006341616,mresm,slow,EIS
15,0.04735459539625088,ukesm,slow,EIS
0,0.024222369903404293,mean,slow,EIS
0,0.004739938280404999,ccsm4,slow,Tadv
1,0.003504886260433809,canam4,slow,Tadv
2,-0.004604496972627375,canesm5,slow,Tadv
3,0.00441920916344395,e3sm,slow,Tadv
4,0.003639807835838637,gfdl,slow,Tadv
5,0.010731699371590499,hg2,slow,Tadv
6,0.0015181175351837231,hg3,slow,Tadv
7,-0.0036738730725110807,ipsl,slow,Tadv
8,0.0029481121613434977,mies2l,slow,Tadv
9,0.006814072282920394,miesm,slow,Tadv
10,0.008840493503592077,mi5,slow,Tadv
11,-0.006992959035879913,mi6,slow,Tadv
12,0.005567307393062197,mpi,slow,Tadv
13,-0.010904756405098682,mrcgcm,slow,Tadv
14,0.003757639665564685,mresm,slow,Tadv
15,0.0037269315912856304,ukesm,slow,Tadv
0,0.00212700809740919,mean,slow,Tadv
0,-0.0602065658972681,ccsm4,slow,RH
