,Unnamed: 0,dR/dT,models,experiment,var
238,0,0.0185927927091814,ccsm4,hist,Omega
239,1,0.0059801324466804,canam4,hist,Omega
240,2,0.010067839642933,canesm5,hist,Omega
241,3,0.0131353424925902,e3sm,hist,Omega
242,4,0.0133764806041515,gfdl,hist,Omega
243,5,0.0205223564216143,hg2,hist,Omega
244,6,0.0028394458376272,hg3,hist,Omega
245,7,0.0103487990497256,ipsl,hist,Omega
246,8,-0.0224260943011958,mies2l,hist,Omega
247,9,0.0142703887534663,miesm,hist,Omega
248,10,-0.0075084462490537,mi5,hist,Omega
249,11,-0.0068371837026983,mi6,hist,Omega
250,12,0.0187212561850552,mpi,hist,Omega
251,13,0.0254581494894684,mrcgcm,hist,Omega
252,14,-0.0033047566738327,mresm,hist,Omega
253,15,0.0165526157114931,ukesm,hist,Omega
255,0,-0.0010449433103124,ccsm4,hist,WS
256,1,-0.0159552806860896,canam4,hist,WS
257,2,0.0154188099116193,canesm5,hist,WS
258,3,0.0569648889661346,e3sm,hist,WS
259,4,0.0340595023457099,gfdl,hist,WS
260,5,-0.0333730292237383,hg2,hist,WS
261,6,0.0418241825984826,hg3,hist,WS
262,7,0.038545146567458,ipsl,hist,WS
263,8,-0.0028209459852663,mies2l,hist,WS
264,9,-0.0230981747773021,miesm,hist,WS
265,10,0.0073054370747522,mi5,hist,WS
266,11,0.0469534154830234,mi6,hist,WS
267,12,-0.0388070274147188,mpi,hist,WS
268,13,-0.0263560223683358,mrcgcm,hist,WS
269,14,0.0018467982489783,mresm,hist,WS
270,15,0.0168234843533254,ukesm,hist,WS
272,0,0.4272178725756398,ccsm4,fast,SST
273,1,0.1972747869859,canam4,fast,SST
274,2,0.3052640363104034,canesm5,fast,SST
275,3,0.503334550132529,e3sm,fast,SST
276,4,0.2626470808839054,gfdl,fast,SST
277,5,0.3595527039144925,hg2,fast,SST
278,6,0.4305201566571688,hg3,fast,SST
279,7,0.3314276002001469,ipsl,fast,SST
280,8,0.2264811265708927,mies2l,fast,SST
281,9,0.2147522012292964,miesm,fast,SST
282,10,0.2846002654106506,mi5,fast,SST
283,11,0.3950464907807953,mi6,fast,SST
284,12,0.284599206195268,mpi,fast,SST
285,13,0.2128733771525163,mrcgcm,fast,SST
286,14,0.234850323973971,mresm,fast,SST
287,15,0.3638797733913286,ukesm,fast,SST
289,0,-0.2318970074265849,ccsm4,fast,EIS
290,1,-0.0246332569799379,canam4,fast,EIS
291,2,-0.1564217423238791,canesm5,fast,EIS
292,3,-0.118962891904648,e3sm,fast,EIS
293,4,-0.1833401864368961,gfdl,fast,EIS
294,5,-0.2005967119306265,hg2,fast,EIS
295,6,-0.188319405845804,hg3,fast,EIS
296,7,-0.1310358770505131,ipsl,fast,EIS
297,8,-0.188968066035915,mies2l,fast,EIS
298,9,-0.1871015979758806,miesm,fast,EIS
299,10,-0.1462841540631139,mi5,fast,EIS
300,11,-0.2248435107078557,mi6,fast,EIS
301,12,-0.3293097266581477,mpi,fast,EIS
302,13,-0.1439630386658293,mrcgcm,fast,EIS
303,14,-0.1075001396833934,mresm,fast,EIS
304,15,-0.1927330343177093,ukesm,fast,EIS
306,0,-0.0094734855268307,ccsm4,fast,Tadv
307,1,-0.0376753784512472,canam4,fast,Tadv
308,2,-0.0285319467702917,canesm5,fast,Tadv
309,3,-0.0373075810006437,e3sm,fast,Tadv
310,4,-0.00616981481431,gfdl,fast,Tadv
311,5,-0.0201805132456897,hg2,fast,Tadv
312,6,0.0119004468247791,hg3,fast,Tadv
313,7,-0.0092968281932855,ipsl,fast,Tadv
314,8,0.0073084842445996,mies2l,fast,Tadv
315,9,-0.0087024845326194,miesm,fast,Tadv
316,10,-0.001880410727968,mi5,fast,Tadv
317,11,-0.0158734646975971,mi6,fast,Tadv
318,12,-0.0249061412195564,mpi,fast,Tadv
319,13,0.0076453445336753,mrcgcm,fast,Tadv
320,14,-0.0319803685724892,mresm,fast,Tadv
321,15,-0.0041998064510516,ukesm,fast,Tadv
323,0,-0.0153446476556624,ccsm4,fast,RH
324,1,0.0129429209143733,canam4,fast,RH
325,2,-0.0512757531065483,canesm5,fast,RH
326,3,0.054905959570768,e3sm,fast,RH
327,4,0.0069514300911843,gfdl,fast,RH
328,5,0.0086274341697015,hg2,fast,RH
329,6,0.0847483639179553,hg3,fast,RH
330,7,-0.0094776875768184,ipsl,fast,RH
331,8,0.0769820399638875,mies2l,fast,RH
332,9,0.0421409013299746,miesm,fast,RH
333,10,0.0855170495257647,mi5,fast,RH
334,11,-0.0137905649538239,mi6,fast,RH
335,12,0.0173265932314442,mpi,fast,RH
336,13,0.0137493815481768,mrcgcm,fast,RH
337,14,0.0222150262081463,mresm,fast,RH
338,15,0.0887159769173015,ukesm,fast,RH
340,0,-0.0052095339990651,ccsm4,fast,Omega
341,1,-0.0088138831023761,canam4,fast,Omega
342,2,-0.0076238703824798,canesm5,fast,Omega
343,3,-0.0261436280967414,e3sm,fast,Omega
344,4,-0.0119015870943942,gfdl,fast,Omega
345,5,-0.0057150127265582,hg2,fast,Omega
346,6,-0.0167465289301366,hg3,fast,Omega
347,7,-0.0062868294098401,ipsl,fast,Omega
348,8,-0.012850395099647,mies2l,fast,Omega
349,9,-0.0062580918830855,miesm,fast,Omega
350,10,-0.0085109384554944,mi5,fast,Omega
351,11,-0.0101208038118078,mi6,fast,Omega
352,12,-0.011295556064139,mpi,fast,Omega
353,13,-0.0050800915330448,mrcgcm,fast,Omega
354,14,-0.0069898678288815,mresm,fast,Omega
355,15,-0.0088479961713788,ukesm,fast,Omega
357,0,0.0360645952627927,ccsm4,fast,WS
358,1,0.0262030247088878,canam4,fast,WS
359,2,0.0118305759588965,canesm5,fast,WS
360,3,0.0542953719124002,e3sm,fast,WS
