,Unnamed: 0,dR/dT,models,experiment,var
218,14,0.0389183577677657,mresm,hist,Tadv
219,15,0.0336187942553107,ukesm,hist,Tadv
221,0,0.0598253265137988,ccsm4,hist,RH
222,1,0.0379992142389488,canam4,hist,RH
223,2,0.0308013152141695,canesm5,hist,RH
224,3,0.0198292045845857,e3sm,hist,RH
225,4,0.042702321493887,gfdl,hist,RH
226,5,0.1598285931384229,hg2,hist,RH
227,6,0.0478064174456431,hg3,hist,RH
228,7,0.1084230529724947,ipsl,hist,RH
229,8,0.1172008107917326,mies2l,hist,RH
230,9,0.0472964988696467,miesm,hist,RH
231,10,0.0861510276408357,mi5,hist,RH
232,11,0.128101669677225,mi6,hist,RH
233,12,0.0946178267636589,mpi,hist,RH
234,13,0.0787706910025445,mrcgcm,hist,RH
235,14,0.006433546490363,mresm,hist,RH
236,15,0.1209360917329007,ukesm,hist,RH
238,0,0.0050749531499038,ccsm4,hist,Omega
239,1,0.0045706459967786,canam4,hist,Omega
240,2,0.0061958803150974,canesm5,hist,Omega
241,3,0.0165675108029505,e3sm,hist,Omega
242,4,0.0048592293199358,gfdl,hist,Omega
243,5,-0.0090522841759713,hg2,hist,Omega
244,6,0.0095818699708399,hg3,hist,Omega
245,7,0.0032352607972474,ipsl,hist,Omega
246,8,-0.0171068463532211,mies2l,hist,Omega
247,9,0.0218443014514184,miesm,hist,Omega
248,10,-0.0045258027005021,mi5,hist,Omega
249,11,-0.0012646034350005,mi6,hist,Omega
250,12,0.0138706132845711,mpi,hist,Omega
251,13,0.0117624387879034,mrcgcm,hist,Omega
252,14,-0.0002219485808499,mresm,hist,Omega
253,15,-0.0052958965118971,ukesm,hist,Omega
255,0,-0.0444811213967733,ccsm4,hist,WS
256,1,-0.0099198578381381,canam4,hist,WS
257,2,0.0079806654275244,canesm5,hist,WS
258,3,0.0652960941909789,e3sm,hist,WS
259,4,0.0325838104456973,gfdl,hist,WS
260,5,-0.025737959563298,hg2,hist,WS
261,6,0.0354779945756125,hg3,hist,WS
262,7,0.0121471975240004,ipsl,hist,WS
263,8,0.0023807121676865,mies2l,hist,WS
264,9,-0.0242540836565178,miesm,hist,WS
265,10,0.0335956699361828,mi5,hist,WS
266,11,0.03653983817878,mi6,hist,WS
267,12,-0.0314822924795304,mpi,hist,WS
268,13,-0.0186753457093544,mrcgcm,hist,WS
269,14,0.0047759344642801,mresm,hist,WS
270,15,0.0077086760266787,ukesm,hist,WS
272,0,0.3009016297977963,ccsm4,fast,SST
273,1,0.150209300975104,canam4,fast,SST
274,2,0.1976664412927999,canesm5,fast,SST
275,3,0.3602489850769049,e3sm,fast,SST
276,4,0.1974229613061638,gfdl,fast,SST
277,5,0.2776680809818489,hg2,fast,SST
278,6,0.3287371340054211,hg3,fast,SST
279,7,0.2180741859750245,ipsl,fast,SST
280,8,0.144687445755219,mies2l,fast,SST
281,9,0.1354549882586608,miesm,fast,SST
282,10,0.1794602737089345,mi5,fast,SST
283,11,0.2583302917783054,mi6,fast,SST
284,12,0.2061021585179432,mpi,fast,SST
285,13,0.1264212082654859,mrcgcm,fast,SST
286,14,0.1469483343818966,mresm,fast,SST
287,15,0.2648730566675908,ukesm,fast,SST
289,0,-0.3106630583652702,ccsm4,fast,EIS
290,1,-0.0674396580893382,canam4,fast,EIS
291,2,-0.2071148233456661,canesm5,fast,EIS
292,3,-0.1680860523234137,e3sm,fast,EIS
293,4,-0.2603088013954038,gfdl,fast,EIS
294,5,-0.2790542756081299,hg2,fast,EIS
295,6,-0.2467455366057842,hg3,fast,EIS
296,7,-0.1759955255690286,ipsl,fast,EIS
297,8,-0.228321442879439,mies2l,fast,EIS
298,9,-0.2267467751612176,miesm,fast,EIS
299,10,-0.1733019729731162,mi5,fast,EIS
300,11,-0.290487389972338,mi6,fast,EIS
301,12,-0.4379182934483325,mpi,fast,EIS
302,13,-0.1902119778148352,mrcgcm,fast,EIS
303,14,-0.1552059080893128,mresm,fast,EIS
304,15,-0.2447482382136787,ukesm,fast,EIS
306,0,-0.016711218016353,ccsm4,fast,Tadv
307,1,-0.0281220336056513,canam4,fast,Tadv
308,2,-0.0284118565291869,canesm5,fast,Tadv
309,3,-0.0338752362252449,e3sm,fast,Tadv
310,4,-0.0080666733720542,gfdl,fast,Tadv
311,5,-0.0210660326428225,hg2,fast,Tadv
312,6,0.0151162919890059,hg3,fast,Tadv
313,7,-0.017250364337896,ipsl,fast,Tadv
314,8,0.0116228354598212,mies2l,fast,Tadv
315,9,-0.0048674762539826,miesm,fast,Tadv
316,10,-0.0048910999630723,mi5,fast,Tadv
317,11,-0.0209281099894383,mi6,fast,Tadv
318,12,-0.0244941861402922,mpi,fast,Tadv
319,13,0.0073639718467456,mrcgcm,fast,Tadv
320,14,-0.0336529774558236,mresm,fast,Tadv
321,15,-0.0008386135589948,ukesm,fast,Tadv
323,0,-0.0244822237880821,ccsm4,fast,RH
324,1,0.0083304807610065,canam4,fast,RH
325,2,-0.0611376724212312,canesm5,fast,RH
326,3,0.0344236651881487,e3sm,fast,RH
